"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2166588";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2166588";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"621955";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/621955";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"620598";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/620598";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/60";"30000";"Órgão do Poder Executivo";"Presidência da República";"";"";"";"1";"1"
"606049";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/606049";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"591672";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/591672";"74592";"https://dadosabertos.camara.leg.br/api/v2/deputados/74592";"10000";"Deputado";"Ronaldo Vasconcellos";"";"";"";"1";"1"
"530928";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/530928";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"501155";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/501155";"73645";"https://dadosabertos.camara.leg.br/api/v2/deputados/73645";"10000";"Deputado";"Zulaiê Cobra";"";"";"";"1";"1"
"499325";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/499325";"74462";"";"20000";"Senador";"Wellington Dias";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PI";"1";"1"
"497857";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/497857";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"486565";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/486565";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"484723";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/484723";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"468709";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/468709";"74097";"https://dadosabertos.camara.leg.br/api/v2/deputados/74097";"10000";"Deputado";"Confúcio Moura";"";"";"";"1";"1"
"451806";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/451806";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"444943";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/444943";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"444259";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/444259";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"443107";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/443107";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"439434";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/439434";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"409054";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/409054";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"405461";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/405461";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"354393";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/354393";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/78";"40000";"Órgão do Poder Legislativo";"Senado Federal";"";"";"";"1";"1"
"351213";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/351213";"74802";"https://dadosabertos.camara.leg.br/api/v2/deputados/74802";"10000";"Deputado";"Magela";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"DF";"1";"1"
