session_code,line,party
550,No,MDB
550,Yes,PT
550,No,PPB
550,No,GOV.
550,No,PSDB
550,No,PTB
550,No,PFL
550,No,PST
550,Yes,PDT
550,Yes,PPS
550,Yes,PSB
550,Yes,PCdoB
550,Yes,PL
550,Yes,PSL
3827,Yes,PT
3827,Yes,DEM
3827,Yes,PSDB
3827,Yes,PR
3827,Yes,PP
3827,Yes,PDT
3827,Yes,PTB
3827,Yes,PV
3827,Yes,PPS
3827,Yes,PSC
3827,Yes,PSOL
3827,Yes,GOV.
3827,Yes,MDB
3827,Yes,PTC
3827,Yes,PSD
3827,Yes,PCdoB
3827,Yes,PMN
3827,Yes,PRB
3141,Yes,PT
3141,No,PSDB
3141,No,DEM
3141,Yes,PP
3141,Yes,PR
3141,No,PPS
3141,Yes,PV
3141,Yes,PSOL
3141,Yes,GOV.
3141,Yes,MDB
3141,Yes,PTB
3141,Yes,PSC
3141,Yes,PTC
3141,Yes,PSB
3141,Yes,PDT
3141,Yes,PCdoB
3141,Yes,PMN
3141,Yes,PAN
3141,Yes,PHS
3141,Yes,PRB
3141_2,Yes,PT
3141_2,No,PSDB
3141_2,No,DEM
3141_2,Yes,PP
3141_2,Yes,PR
3141_2,No,PPS
3141_2,Yes,PV
3141_2,Yes,PSOL
3141_2,Yes,GOV.
3141_2,Yes,MDB
3141_2,Yes,PTB
3141_2,Yes,PSC
3141_2,Yes,PTC
3141_2,Yes,PSB
3141_2,Yes,PDT
3141_2,Yes,PCdoB
3141_2,Yes,PMN
3141_2,Yes,PAN
3141_2,Yes,PHS
3141_2,Yes,PRB
4453,Yes,PT
4453,Yes,MDB
4453,Yes,PSD
4453,No,PSDB
4453,Yes,PP
4453,Yes,DEM
4453,Obstruction,PDT
4453,No,PSC
4453,No,PRB
4453,No,PSOL
4453,Yes,GOV.
4453,Yes,PSB
4453,Yes,PTB
4453,Yes,PCdoB
4453,No,PR
4453,No,Avante
4453,No,PRP
4453,No,PHS
4453,No,PTC
4453,No,PSL
4453,No,PV
4453,No,PPS
528,No,PSDB
528,No,PFL
528,Yes,PT
528,No,PPB
528,No,PTB
528,No,PDT
528,No,PPS
528,No,PST
528,No,PV
528,No,GOV.
528,No,MDB
528,No,Podemos
528,No,PSB
528,No,PCdoB
528,No,PL
528,No,PSL
528_2,Yes,PSDB
528_2,Yes,PFL
528_2,Yes,PT
528_2,Yes,PPB
528_2,Yes,PTB
528_2,Yes,PDT
528_2,Yes,PPS
528_2,Yes,PST
528_2,Yes,PV
528_2,Yes,MDB
528_2,Yes,Podemos
528_2,Yes,PSB
528_2,Yes,PCdoB
528_2,Yes,PL
528_2,Yes,PSL
528_3,No,PSDB
528_3,No,PFL
528_3,Yes,PT
528_3,No,PPB
528_3,No,PTB
528_3,Yes,PDT
528_3,Yes,PPS
528_3,No,PST
528_3,No,PV
528_3,No,MDB
528_3,No,Podemos
528_3,Yes,PSB
528_3,Yes,PCdoB
528_3,Yes,PL
528_3,Yes,PSL
533,Yes,PSDB
533,Yes,PFL
533,Yes,PT
533,Yes,PPB
533,Yes,PTB
533,Yes,PDT
533,Yes,PPS
533,Yes,PST
533,Yes,PV
533,Yes,PHS
533,Yes,GOV.
533,Yes,MDB
533,Yes,Podemos
533,Yes,PSB
533,Yes,PCdoB
533,Yes,PL
533,Yes,PSL
16292,Yes,MDB
16292,Yes,PT
16292,Yes,PSDB
16292,Yes,PR
16292,Yes,PSD
16292,Yes,PSB
16292,Yes,DEM
16292,Yes,PRB
16292,Yes,PDT
16292,Yes,Podemos
16292,Yes,Solidaried
16292,Yes,PCdoB
16292,No,PPS
16292,Free,PSC
16292,No,PHS
16292,Yes,PV
16292,No,PSOL
16292,Free,REDE
16292,Yes,Patriota
16292,Yes,PP
16292,Yes,Avante
16300,Yes,MDB
16300,No,PT
16300,Yes,PSDB
16300,No,PR
16300,Yes,PSD
16300,Yes,PSB
16300,Yes,DEM
16300,No,PRB
16300,Yes,PDT
16300,Yes,Podemos
16300,Yes,Solidaried
16300,No,PCdoB
16300,No,PSC
16300,No,PPS
16300,No,PHS
16300,No,PV
16300,No,PSOL
16300,Free,REDE
16300,No,Patriota
16300,Yes,PP
16300,Yes,Avante
16300,Yes,PTB
16300,Yes,PROS
16300,Yes,PSL
16292_2,Yes,MDB
16292_2,Yes,PT
16292_2,Yes,PSDB
16292_2,Yes,PR
16292_2,Yes,PSD
16292_2,Yes,PSB
16292_2,Yes,DEM
16292_2,Yes,PRB
16292_2,Yes,PDT
16292_2,Yes,Podemos
16292_2,Yes,Solidaried
16292_2,No,PCdoB
16292_2,No,PPS
16292_2,Free,PSC
16292_2,No,PHS
16292_2,No,PV
16292_2,No,PSOL
16292_2,Free,REDE
16292_2,Yes,Patriota
16292_2,Yes,GOV.
16292_2,Yes,PP
16292_2,Yes,Avante
16292_2,Yes,PTB
16292_2,Yes,PROS
16292_2,Yes,PSL
16300_2,Yes,MDB
16300_2,No,PT
16300_2,Yes,PSDB
16300_2,Yes,PR
16300_2,Yes,PSD
16300_2,Yes,PSB
16300_2,Yes,DEM
16300_2,No,PRB
16300_2,No,PDT
16300_2,Yes,Podemos
16300_2,Yes,Solidaried
16300_2,No,PCdoB
16300_2,Yes,PSC
16300_2,Yes,PPS
16300_2,Yes,PHS
16300_2,Yes,PV
16300_2,No,PSOL
16300_2,Yes,REDE
16300_2,Yes,PP
16300_2,Yes,Avante
16300_2,Yes,PTB
16300_2,Yes,PROS
16300_2,Yes,PSL
16300_3,No,MDB
16300_3,No,PT
16300_3,No,PSDB
16300_3,No,PR
16300_3,No,PSD
16300_3,No,PSB
16300_3,No,DEM
16300_3,No,PRB
16300_3,No,PDT
16300_3,No,Podemos
16300_3,No,Solidaried
16300_3,No,PCdoB
16300_3,No,PSC
16300_3,No,PPS
16300_3,No,PHS
16300_3,No,PV
16300_3,No,PSOL
16300_3,No,REDE
16300_3,No,Patriota
16300_3,No,PP
16300_3,No,Avante
16323,No,MDB
16323,No,PT
16323,No,PSDB
16323,No,PR
16323,No,PSD
16323,No,PSB
16323,No,DEM
16323,No,PRB
16323,No,PDT
16323,No,Podemos
16323,No,Solidaried
16323,Obstruction,PCdoB
16323,No,PPS
16323,No,PHS
16323,No,PV
16323,Obstruction,PSOL
16323,Free,REDE
16323,Obstruction,Patriota
16323,No,GOV.
16323,No,PP
16323,No,Avante
16323,No,PTB
16323,No,PROS
16323,No,PSL
16324,Obstruction,MDB
16324,Obstruction,PT
16324,Obstruction,PSDB
16324,Obstruction,PR
16324,Obstruction,PSD
16324,No,PSB
16324,Obstruction,DEM
16324,No,PRB
16324,No,PDT
16324,Obstruction,Podemos
16324,Obstruction,Solidaried
16324,No,PCdoB
16324,No,PSC
16324,No,PPS
16324,No,PHS
16324,No,PV
16324,No,PSOL
16324,Obstruction,REDE
16324,No,Patriota
16324,Obstruction,PP
16324,Obstruction,Avante
16324,No,PTB
16324,No,PROS
16324,No,PSL
16331,Yes,MDB
16331,No,PT
16331,Yes,PSDB
16331,No,PR
16331,Yes,PSD
16331,No,PSB
16331,Yes,DEM
16331,No,PRB
16331,No,PDT
16331,Yes,Podemos
16331,Yes,Solidaried
16331,No,PCdoB
16331,Free,PSC
16331,No,PPS
16331,No,PHS
16331,No,PV
16331,No,PSOL
16331,Obstruction,REDE
16331,No,Patriota
16331,Free,GOV.
16331,Yes,PP
16331,Yes,Avante
16331,No,PTB
16331,No,PROS
16331,No,PSL
951,No,PT
951,No,MDB
951,Obstruction,PFL
951,No,PP
951,No,PTB
951,Obstruction,PSDB
951,No,PPS
951,No,PSB
951,No,PDT
951,No,PV
951,Obstruction,PRONA
951,No,GOV.
951,No,PL
951,No,PSL
952,No,PT
952,No,MDB
952,Yes,PFL
952,No,PP
952,No,PTB
952,Yes,PSDB
952,No,PPS
952,No,PSB
952,Yes,PDT
952,No,PCdoB
952,Yes,PSC
952,No,PV
952,Yes,PRONA
952,No,GOV.
952,No,PL
952,No,PSL
952_2,No,PT
952_2,No,MDB
952_2,Yes,PFL
952_2,No,PP
952_2,No,PTB
952_2,Yes,PSDB
952_2,No,PPS
952_2,No,PSB
952_2,Yes,PDT
952_2,No,PCdoB
952_2,Yes,PV
952_2,Yes,PRONA
952_2,No,GOV.
952_2,No,PL
